zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95660,North Highlands,N Highlands,CA,Sacramento County,38.66,-121.37,21675,
95661,Roseville,,CA,Placer County,38.74,-121.25,24647,
95662,Orangevale,,CA,Sacramento County,38.68,-121.22,26135,
95663,Penryn,,CA,Placer County,38.85,-121.18,2304,
95664,Pilot Hill,,CA,El Dorado County,38.8,-121.04,1113,
95665,Pine Grove,,CA,Amador County,38.38,-120.64,3764,
95666,Pioneer,,CA,Amador County,38.56,-120.17,4179,
95667,Placerville,Kelsey,CA,El Dorado County,38.73,-120.8,28139,
95668,Pleasant Grove,Pleasant Grv,CA,Sutter County,38.83,-121.5,687,
95669,Plymouth,,CA,Amador County,38.46,-120.88,2065,
95670,Rancho Cordova,"Gold River, Rncho Cordova",CA,Sacramento County,38.6,-121.26,40655,
95671,Represa,,CA,Sacramento County,38.67,-121.14,0,
95672,Rescue,,CA,El Dorado County,38.72,-121,4022,
95673,Rio Linda,,CA,Sacramento County,38.68,-121.45,11504,
95674,Rio Oso,,CA,Sutter County,38.95,-121.49,734,
95675,River Pines,Mount Aukum,CA,Amador County,38.54,-120.74,0,
95676,Robbins,,CA,Sutter County,38.94,-121.74,0,
95677,Rocklin,,CA,Placer County,38.8,-121.24,20132,
95678,Roseville,,CA,Placer County,38.76,-121.28,32889,
95679,Rumsey,,CA,Yolo County,38.9,-122.29,0,
95680,Ryde,,CA,Sacramento County,38.23,-121.55,0,
95681,Sheridan,,CA,Placer County,38.98,-121.35,957,
95682,Shingle Springs,"Cameron Park, Latrobe, Shingle Spgs",CA,El Dorado County,38.61,-120.97,24623,
95683,Sloughhouse,"Rancho Murieta, Rncho Murieta",CA,Sacramento County,38.51,-121.12,5736,
95684,Somerset,Fair Play,CA,El Dorado County,38.62,-120.62,2344,
95685,Sutter Creek,,CA,Amador County,38.42,-120.75,3944,
95686,Thornton,,CA,San Joaquin County,38.17,-121.52,922,
95687,Vacaville,,CA,Solano County,38.35,-121.93,45910,
95688,Vacaville,,CA,Solano County,38.41,-122.01,28085,
95689,Volcano,,CA,Amador County,38.48,-120.57,1166,
95690,Walnut Grove,,CA,Sacramento County,38.23,-121.58,2004,
95691,West Sacramento,W Sacramento,CA,Yolo County,38.66,-121.62,26437,
95692,Wheatland,,CA,Yuba County,39.04,-121.39,3917,
95693,Wilton,,CA,Sacramento County,38.39,-121.24,5891,
95694,Winters,,CA,Yolo County,38.56,-121.99,7665,
95695,Woodland,,CA,Yolo County,38.71,-121.85,28392,
95696,Vacaville,,CA,Solano County,38.31,-121.92,2007,
95697,Yolo,,CA,Yolo County,38.73,-121.81,690,
95698,Zamora,,CA,Yolo County,38.8,-121.9,0,
95699,Drytown,Sutter Creek,CA,Amador County,38.44,-120.85,0,
95701,Alta,,CA,Placer County,39.21,-120.79,787,
95703,Applegate,,CA,Placer County,39,-120.99,1447,
95709,Camino,,CA,El Dorado County,38.74,-120.68,4150,
95712,Chicago Park,,CA,Nevada County,39.16,-120.95,609,
95713,Colfax,"Eden Valley, Iowa Hill",CA,Placer County,39.09,-120.92,6066,
95714,Dutch Flat,,CA,Placer County,39.19,-120.83,0,
95715,Emigrant Gap,Alta,CA,Placer County,39.25,-120.69,0,
95717,Gold Run,,CA,Placer County,39.13,-120.83,0,
95720,Kyburz,,CA,El Dorado County,38.77,-120.26,0,
95721,Echo Lake,Twin Bridges,CA,El Dorado County,38.84,-120.07,0,
95722,Meadow Vista,,CA,Placer County,39,-121.03,4202,
95724,Norden,Soda Springs,CA,Placer County,39.31,-120.43,0,
95726,Pollock Pines,Pacific House,CA,El Dorado County,38.74,-120.57,6965,
95728,Soda Springs,,CA,Nevada County,39.27,-120.41,0,
95735,Twin Bridges,,CA,El Dorado County,38.83,-120.18,0,
95736,Weimar,,CA,Placer County,39.03,-120.96,1228,
95741,Rancho Cordova,Rncho Cordova,CA,Sacramento County,38.58,-121.3,1400,
95742,Rancho Cordova,Rncho Cordova,CA,Sacramento County,38.57,-121.17,6511,
95746,Granite Bay,Roseville,CA,Placer County,38.76,-121.16,19407,
95747,Roseville,,CA,Placer County,38.78,-121.37,41545,
95757,Elk Grove,,CA,Sacramento County,38.35,-121.42,27886,"no NWS data, "
95758,Elk Grove,,CA,Sacramento County,38.34,-121.42,48267,
95759,Elk Grove,,CA,Sacramento County,38.4,-121.37,1325,
95762,El Dorado Hills,"El Dorado Hls, Folsom",CA,El Dorado County,38.68,-121.05,33316,
95763,Folsom,,CA,Sacramento County,38.67,-121.17,1387,
95765,Rocklin,,CA,Placer County,38.81,-121.28,25874,
95776,Woodland,,CA,Yolo County,38.69,-121.68,18163,
95798,West Sacramento,W Sacramento,CA,Yolo County,38.57,-121.56,0,
95799,West Sacramento,W Sacramento,CA,Yolo County,38.53,-121.55,0,
95811,Sacramento,,CA,Sacramento County,38.59,-121.49,3752,"no NWS data, "
